s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"Temp_00","Temp_01","Temp_02","Temp_03","Temp_04","Temp_05","Temp_06","Temp_07","Temp_08","Temp_09","Temp_10","Temp_11","Temp_12","Temp_13","Temp_15","Temp_18","Temp_19","Temp_21","Temp_24","Temp_25","Temp_27","Temp_30","Temp_31","Temp_32","Temp_33","Temp_36","Temp_37","Temp_39","Temp_42","Temp_43","Temp_44","Temp_45","Temp_46","Temp_47","Temp_48","Temp_49","Temp_50","Temp_51","Temp_52","Temp_53","Temp_14","Temp_16","Temp_17","Temp_20","Temp_22","Temp_23","Temp_26","Temp_28","Temp_29","Temp_34","Temp_35","Temp_38","Temp_40","Temp_41","Temp_54","Temp_55"
 0.0000000E+000, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001
 4.1225320E-001, 2.2000000E+001, 2.1999992E+001, 2.1999998E+001, 2.2000006E+001, 2.1999995E+001, 2.1999941E+001, 2.1999999E+001, 2.2000001E+001, 2.1999989E+001, 2.2000002E+001, 2.2000001E+001, 2.2000005E+001, 2.1999996E+001, 2.1999996E+001, 2.1999995E+001, 2.1999999E+001, 2.2000007E+001, 2.2000005E+001, 2.1999983E+001, 2.1999997E+001, 2.2000001E+001, 2.2000004E+001, 2.2000005E+001, 2.2000006E+001, 2.2000002E+001, 2.2000004E+001, 2.1999995E+001, 2.2000005E+001, 2.1999999E+001, 2.1999999E+001, 2.2000000E+001, 2.1999998E+001, 2.1999998E+001, 2.1999996E+001, 2.2000004E+001, 2.1999994E+001, 2.2000003E+001, 2.2033025E+001, 2.2000003E+001, 2.1999998E+001, 2.2000007E+001, 2.2000000E+001, 2.1999999E+001, 2.1999991E+001, 2.2000005E+001, 2.2000000E+001, 2.1999994E+001, 2.1999996E+001, 2.1999998E+001, 2.2000073E+001, 2.1999999E+001, 2.1999980E+001, 2.2000005E+001, 2.2000002E+001, 2.2000000E+001, 2.2000003E+001
 6.1837980E-001, 2.2000001E+001, 2.1999966E+001, 2.1999990E+001, 2.1999988E+001, 2.1999982E+001, 2.1999870E+001, 2.1999995E+001, 2.2000003E+001, 2.1999956E+001, 2.2000008E+001, 2.2000005E+001, 2.1999993E+001, 2.1999982E+001, 2.1999983E+001, 2.1999981E+001, 2.1999997E+001, 2.1999998E+001, 2.2000018E+001, 2.1999960E+001, 2.1999988E+001, 2.2000005E+001, 2.1999995E+001, 2.2000018E+001, 2.2000024E+001, 2.2000005E+001, 2.2000013E+001, 2.1999977E+001, 2.2000016E+001, 2.1999994E+001, 2.1999979E+001, 2.1999994E+001, 2.1999978E+001, 2.1999992E+001, 2.1999984E+001, 2.2000015E+001, 2.1999783E+001, 2.1999939E+001, 2.5356117E+001, 2.2000011E+001, 2.1999992E+001, 2.2000029E+001, 2.1999998E+001, 2.1999996E+001, 2.1999964E+001, 2.2000022E+001, 2.2000000E+001, 2.1999975E+001, 2.1999982E+001, 2.1999993E+001, 2.2053167E+001, 2.1999995E+001, 2.1999635E+001, 2.2000021E+001, 2.2000008E+001, 2.2000001E+001, 2.2000010E+001
 1.0306330E+000, 2.2000002E+001, 2.1999940E+001, 2.1999983E+001, 2.1999920E+001, 2.1999961E+001, 2.2000137E+001, 2.1999992E+001, 2.2000005E+001, 2.1999924E+001, 2.2000014E+001, 2.2000008E+001, 2.1999954E+001, 2.1999969E+001, 2.1999971E+001, 2.1999967E+001, 2.1999995E+001, 2.1999921E+001, 2.2000030E+001, 2.2000050E+001, 2.1999980E+001, 2.2000008E+001, 2.1999988E+001, 2.2000029E+001, 2.2000040E+001, 2.2000009E+001, 2.2000021E+001, 2.1999969E+001, 2.2000026E+001, 2.1999987E+001, 2.1999987E+001, 2.1999990E+001, 2.1999989E+001, 2.1999985E+001, 2.1999970E+001, 2.2000024E+001, 2.1998549E+001, 2.1999589E+001, 6.2263597E+001, 2.2000018E+001, 2.1999986E+001, 2.2000049E+001, 2.1999998E+001, 2.1999993E+001, 2.1999936E+001, 2.2000038E+001, 2.2000000E+001, 2.1999957E+001, 2.1999969E+001, 2.1999987E+001, 2.2492685E+001, 2.1999992E+001, 2.1998984E+001, 2.2000037E+001, 2.2000014E+001, 2.2000002E+001, 2.2000016E+001
 1.2077963E+000, 2.2000003E+001, 2.1999922E+001, 2.1999979E+001, 2.1999879E+001, 2.1999947E+001, 2.2000369E+001, 2.1999990E+001, 2.2000006E+001, 2.1999904E+001, 2.2000017E+001, 2.2000010E+001, 2.1999931E+001, 2.1999961E+001, 2.1999961E+001, 2.1999957E+001, 2.1999994E+001, 2.1999844E+001, 2.2000039E+001, 2.2000160E+001, 2.1999972E+001, 2.2000009E+001, 2.2000016E+001, 2.2000041E+001, 2.2000048E+001, 2.2000010E+001, 2.2000023E+001, 2.1999960E+001, 2.2000028E+001, 2.1999976E+001, 2.2000008E+001, 2.1999986E+001, 2.2000058E+001, 2.1999981E+001, 2.1999961E+001, 2.2000029E+001, 2.1997037E+001, 2.1993654E+001, 9.9365328E+001, 2.2000023E+001, 2.1999983E+001, 2.2000063E+001, 2.1999997E+001, 2.1999991E+001, 2.1999916E+001, 2.2000048E+001, 2.2000000E+001, 2.1999944E+001, 2.1999961E+001, 2.1999983E+001, 2.3148107E+001, 2.1999988E+001, 2.1933115E+001, 2.2000049E+001, 2.2000019E+001, 2.2000003E+001, 2.2000019E+001
 1.5418124E+000, 2.2000004E+001, 2.1999902E+001, 2.1999974E+001, 2.1999838E+001, 2.1999936E+001, 2.2000883E+001, 2.1999990E+001, 2.2000008E+001, 2.1999879E+001, 2.2000022E+001, 2.2000013E+001, 2.1999904E+001, 2.1999951E+001, 2.1999952E+001, 2.1999948E+001, 2.1999992E+001, 2.1999720E+001, 2.2000051E+001, 2.2000348E+001, 2.1999974E+001, 2.2000017E+001, 2.2000039E+001, 2.2000070E+001, 2.2000059E+001, 2.2000089E+001, 2.2000001E+001, 2.2000001E+001, 2.2000407E+001, 2.1999950E+001, 2.2000168E+001, 2.2000064E+001, 2.2001790E+001, 2.1999999E+001, 2.1999961E+001, 2.1999979E+001, 2.1996050E+001, 2.1989595E+001, 1.9456344E+002, 2.2000024E+001, 2.1999981E+001, 2.2000084E+001, 2.1999997E+001, 2.1999990E+001, 2.1999892E+001, 2.2000061E+001, 2.2000001E+001, 2.1999929E+001, 2.1999951E+001, 2.1999977E+001, 2.3540055E+001, 2.1999993E+001, 2.1939158E+001, 2.2000065E+001, 2.2000024E+001, 2.2000004E+001, 2.2000016E+001
 1.8065105E+000, 2.2000005E+001, 2.1999880E+001, 2.1999969E+001, 2.1999805E+001, 2.1999938E+001, 2.2001759E+001, 2.1999986E+001, 2.2000009E+001, 2.1999855E+001, 2.2000029E+001, 2.2000017E+001, 2.1999881E+001, 2.1999941E+001, 2.1999947E+001, 2.1999938E+001, 2.1999992E+001, 2.1999516E+001, 2.2000063E+001, 2.2000436E+001, 2.1999987E+001, 2.2000037E+001, 2.1999453E+001, 2.2000123E+001, 2.2000116E+001, 2.2000236E+001, 2.1999967E+001, 2.2000046E+001, 2.2001029E+001, 2.1999910E+001, 2.2000270E+001, 2.2000107E+001, 2.2025401E+001, 2.2000005E+001, 2.1999955E+001, 2.1999876E+001, 2.1997182E+001, 2.1989929E+001, 3.1775796E+002, 2.2000023E+001, 2.1999976E+001, 2.2000105E+001, 2.1999997E+001, 2.1999988E+001, 2.1999865E+001, 2.2000075E+001, 2.2000001E+001, 2.1999913E+001, 2.1999941E+001, 2.1999971E+001, 2.4101007E+001, 2.1999999E+001, 2.1958039E+001, 2.2000084E+001, 2.2000029E+001, 2.2000004E+001, 2.2000010E+001
 2.1005607E+000, 2.2000003E+001, 2.1999859E+001, 2.1999964E+001, 2.1999798E+001, 2.1999941E+001, 2.2002880E+001, 2.1999979E+001, 2.2000013E+001, 2.1999837E+001, 2.2000038E+001, 2.2000024E+001, 2.1999848E+001, 2.1999932E+001, 2.1999956E+001, 2.1999928E+001, 2.1999994E+001, 2.1999089E+001, 2.2000067E+001, 2.2001858E+001, 2.2000000E+001, 2.2000044E+001, 2.1999033E+001, 2.2000164E+001, 2.2000120E+001, 2.2000322E+001, 2.1999982E+001, 2.1998531E+001, 2.2001473E+001, 2.1999891E+001, 2.2000292E+001, 2.2000091E+001, 2.2040130E+001, 2.1999969E+001, 2.1999947E+001, 2.1999895E+001, 2.2001359E+001, 2.1989760E+001, 5.5173737E+002, 2.2000041E+001, 2.1999975E+001, 2.2000124E+001, 2.1999999E+001, 2.1999987E+001, 2.1999839E+001, 2.2000089E+001, 2.2000002E+001, 2.1999898E+001, 2.1999932E+001, 2.1999966E+001, 2.4914089E+001, 2.1999998E+001, 2.1987372E+001, 2.2000102E+001, 2.2000035E+001, 2.2000005E+001, 2.2000007E+001
 2.4306323E+000, 2.1999995E+001, 2.1999837E+001, 2.1999960E+001, 2.1999856E+001, 2.1999940E+001, 2.2004514E+001, 2.1999967E+001, 2.2000016E+001, 2.1999823E+001, 2.2000051E+001, 2.2000038E+001, 2.1999749E+001, 2.1999923E+001, 2.1999615E+001, 2.1999900E+001, 2.1999980E+001, 2.1997710E+001, 2.2000013E+001, 2.2018296E+001, 2.2000086E+001, 2.1999992E+001, 2.1999123E+001, 2.2000585E+001, 2.2000077E+001, 2.2000346E+001, 2.1999983E+001, 2.1990322E+001, 2.2001740E+001, 2.1999823E+001, 2.2000286E+001, 2.1999979E+001, 2.2013307E+001, 2.1999869E+001, 2.1999923E+001, 2.1999879E+001, 2.2010317E+001, 2.1989358E+001, 5.5927688E+002, 2.2000027E+001, 2.1999961E+001, 2.2000131E+001, 2.2000001E+001, 2.1999986E+001, 2.1999807E+001, 2.2000106E+001, 2.2000004E+001, 2.1999884E+001, 2.1999925E+001, 2.1999965E+001, 2.5725820E+001, 2.1999953E+001, 2.2032255E+001, 2.2000124E+001, 2.2000042E+001, 2.2000006E+001, 2.1999933E+001
