s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"Temp_00","Temp_01","Temp_02","Temp_03","Temp_04","Temp_05","Temp_06","Temp_07","Temp_08","Temp_09","Temp_10","Temp_11","Temp_12","Temp_13","Temp_15","Temp_18","Temp_19","Temp_21","Temp_24","Temp_25","Temp_27","Temp_30","Temp_31","Temp_32","Temp_33","Temp_36","Temp_37","Temp_39","Temp_42","Temp_43","Temp_44","Temp_45","Temp_46","Temp_47","Temp_48","Temp_49","Temp_50","Temp_51","Temp_52","Temp_53","Temp_14","Temp_16","Temp_17","Temp_20","Temp_22","Temp_23","Temp_26","Temp_28","Temp_29","Temp_34","Temp_35","Temp_38","Temp_40","Temp_41","Temp_54","Temp_55"
 0.0000000E+000, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001, 2.2000000E+001
 4.1225320E-001, 2.2000000E+001, 2.1999991E+001, 2.1999998E+001, 2.2000006E+001, 2.1999995E+001, 2.1999941E+001, 2.1999999E+001, 2.2000001E+001, 2.1999989E+001, 2.2000002E+001, 2.2000001E+001, 2.2000005E+001, 2.1999996E+001, 2.1999996E+001, 2.1999995E+001, 2.1999999E+001, 2.2000007E+001, 2.2000004E+001, 2.1999990E+001, 2.1999997E+001, 2.2000001E+001, 2.2000018E+001, 2.2000003E+001, 2.2000006E+001, 2.2000005E+001, 2.2002261E+001, 2.2002772E+001, 2.2000025E+001, 2.2003556E+001, 2.1999992E+001, 2.2000000E+001, 2.1999995E+001, 2.1999998E+001, 2.1999996E+001, 2.2001268E+001, 2.1999997E+001, 2.2000003E+001, 2.1999998E+001, 2.2000003E+001, 2.1999998E+001, 2.2000007E+001, 2.2000000E+001, 2.1999999E+001, 2.1999991E+001, 2.2000005E+001, 2.2000000E+001, 2.1999994E+001, 2.1999996E+001, 2.1999998E+001, 2.2000006E+001, 2.1999999E+001, 2.1999993E+001, 2.2000005E+001, 2.2000002E+001, 2.2000000E+001, 2.2000001E+001
 6.1837980E-001, 2.2000001E+001, 2.1999966E+001, 2.1999990E+001, 2.1999989E+001, 2.1999978E+001, 2.1999860E+001, 2.1999994E+001, 2.2000002E+001, 2.1999956E+001, 2.2000007E+001, 2.2000004E+001, 2.1999990E+001, 2.1999981E+001, 2.1999981E+001, 2.1999980E+001, 2.1999992E+001, 2.1999995E+001, 2.2000014E+001, 2.2000198E+001, 2.1999972E+001, 2.1999998E+001, 2.2013083E+001, 2.1999982E+001, 2.2000018E+001, 2.1999999E+001, 2.2009088E+001, 2.2011190E+001, 2.2000075E+001, 2.2014296E+001, 2.1999841E+001, 2.1999991E+001, 2.1999944E+001, 2.1999991E+001, 2.1999983E+001, 2.2005072E+001, 2.2000125E+001, 2.1999964E+001, 2.1999972E+001, 2.2000011E+001, 2.1999992E+001, 2.2000029E+001, 2.1999998E+001, 2.1999996E+001, 2.1999964E+001, 2.2000022E+001, 2.2000000E+001, 2.1999975E+001, 2.1999982E+001, 2.1999993E+001, 2.2001395E+001, 2.1999995E+001, 2.2000376E+001, 2.2000021E+001, 2.2000008E+001, 2.2000001E+001, 2.1999958E+001
 1.0306330E+000, 2.2000002E+001, 2.1999941E+001, 2.1999983E+001, 2.1999931E+001, 2.1999938E+001, 2.2000050E+001, 2.1999992E+001, 2.2000004E+001, 2.1999923E+001, 2.2000012E+001, 2.2000007E+001, 2.1999938E+001, 2.1999971E+001, 2.1999970E+001, 2.1999966E+001, 2.1999992E+001, 2.1999899E+001, 2.2000024E+001, 2.2004651E+001, 2.1999978E+001, 2.1999995E+001, 2.2092617E+001, 2.2000720E+001, 2.2000039E+001, 2.2000078E+001, 2.2039945E+001, 2.2044493E+001, 2.2000191E+001, 2.2060658E+001, 2.1999855E+001, 2.1999989E+001, 2.1999947E+001, 2.1999983E+001, 2.1999970E+001, 2.2022870E+001, 2.2001353E+001, 2.1999754E+001, 2.2000013E+001, 2.2000019E+001, 2.1999987E+001, 2.2000049E+001, 2.1999998E+001, 2.1999993E+001, 2.1999936E+001, 2.2000038E+001, 2.2000000E+001, 2.1999957E+001, 2.1999969E+001, 2.1999987E+001, 2.2007471E+001, 2.1999993E+001, 2.2000571E+001, 2.2000038E+001, 2.2000014E+001, 2.2000002E+001, 2.1999980E+001
 1.2369736E+000, 2.2000003E+001, 2.1999923E+001, 2.1999979E+001, 2.1999903E+001, 2.1999903E+001, 2.2000192E+001, 2.1999990E+001, 2.2000004E+001, 2.1999900E+001, 2.2000016E+001, 2.2000010E+001, 2.1999891E+001, 2.1999964E+001, 2.1999966E+001, 2.1999957E+001, 2.1999992E+001, 2.1999694E+001, 2.2000032E+001, 2.2016527E+001, 2.2000021E+001, 2.1999993E+001, 2.2217231E+001, 2.2002526E+001, 2.2000057E+001, 2.2000145E+001, 2.2076729E+001, 2.2027188E+001, 2.2000992E+001, 2.2117801E+001, 2.1999878E+001, 2.1999994E+001, 2.1999957E+001, 2.1999979E+001, 2.1999962E+001, 2.2041921E+001, 2.2002943E+001, 2.1998644E+001, 2.2000049E+001, 2.2000024E+001, 2.1999984E+001, 2.2000064E+001, 2.1999998E+001, 2.1999991E+001, 2.1999915E+001, 2.2000049E+001, 2.2000000E+001, 2.1999943E+001, 2.1999961E+001, 2.1999982E+001, 2.2020327E+001, 2.1999988E+001, 2.2000749E+001, 2.2000051E+001, 2.2000019E+001, 2.2000003E+001, 2.1999781E+001
 1.5036381E+000, 2.2000003E+001, 2.1999906E+001, 2.1999975E+001, 2.1999897E+001, 2.1999871E+001, 2.2000428E+001, 2.1999987E+001, 2.2000007E+001, 2.1999881E+001, 2.2000023E+001, 2.2000014E+001, 2.1999838E+001, 2.1999958E+001, 2.1999976E+001, 2.1999953E+001, 2.1999993E+001, 2.1999384E+001, 2.2000039E+001, 2.2025863E+001, 2.2000223E+001, 2.1999998E+001, 2.2277182E+001, 2.2007347E+001, 2.2000087E+001, 2.2000270E+001, 2.2214520E+001, 5.2165285E+001, 2.2004042E+001, 2.2323979E+001, 2.1999977E+001, 2.2000029E+001, 2.2000043E+001, 2.1999979E+001, 2.1999959E+001, 2.2102173E+001, 2.2005119E+001, 2.1998154E+001, 2.2000089E+001, 2.2000023E+001, 2.1999980E+001, 2.2000081E+001, 2.1999997E+001, 2.1999990E+001, 2.1999894E+001, 2.2000060E+001, 2.2000001E+001, 2.1999930E+001, 2.1999953E+001, 2.1999978E+001, 2.2026156E+001, 2.1999982E+001, 2.2001284E+001, 2.2000065E+001, 2.2000024E+001, 2.2000004E+001, 2.1999108E+001
 1.8001082E+000, 2.1999988E+001, 2.1999888E+001, 2.1999967E+001, 2.2000042E+001, 2.1999801E+001, 2.2001029E+001, 2.1999962E+001, 2.2000026E+001, 2.1999885E+001, 2.2000037E+001, 2.2000052E+001, 2.1999308E+001, 2.1999945E+001, 2.1999568E+001, 2.1999940E+001, 2.1999964E+001, 2.1998062E+001, 2.2000001E+001, 2.2137995E+001, 2.2004505E+001, 2.2000174E+001, 2.2376758E+001, 2.2172022E+001, 2.2000391E+001, 2.2002726E+001, 2.2531891E+001, 1.5732862E+002, 2.2047921E+001, 2.2830449E+001, 2.2012470E+001, 2.2000132E+001, 2.2001371E+001, 2.1999936E+001, 2.1999974E+001, 2.2289258E+001, 2.2008166E+001, 2.1995438E+001, 2.2000127E+001, 2.1999984E+001, 2.1999967E+001, 2.2000099E+001, 2.1999997E+001, 2.1999988E+001, 2.1999869E+001, 2.2000076E+001, 2.2000003E+001, 2.1999928E+001, 2.1999958E+001, 2.2000027E+001, 2.2035894E+001, 2.1999945E+001, 2.2001836E+001, 2.2000083E+001, 2.2000032E+001, 2.2000004E+001, 2.1997430E+001
 2.1039033E+000, 2.1999754E+001, 2.1999810E+001, 2.1999902E+001, 2.1998423E+001, 2.1998796E+001, 2.2001450E+001, 2.1999872E+001, 2.1999954E+001, 2.1999959E+001, 2.1999910E+001, 2.1999996E+001, 2.1998213E+001, 2.1999891E+001, 2.1997357E+001, 2.1999865E+001, 2.1999881E+001, 2.1994989E+001, 2.1999932E+001, 2.2252168E+001, 2.2012872E+001, 2.2001178E+001, 2.2494352E+001, 2.2287367E+001, 2.2001524E+001, 2.2034232E+001, 2.2668639E+001, 2.8939239E+002, 9.7350148E+001, 2.3762857E+001, 2.2067364E+001, 2.2000025E+001, 2.2008582E+001, 2.1999838E+001, 2.1999870E+001, 2.2511057E+001, 2.2010701E+001, 2.1992860E+001, 2.2000201E+001, 2.1999852E+001, 2.1999883E+001, 2.1999989E+001, 2.1999909E+001, 2.1999948E+001, 2.1999764E+001, 2.1999999E+001, 2.1999923E+001, 2.1999813E+001, 2.1999948E+001, 2.1999991E+001, 2.2050476E+001, 2.1999819E+001, 2.2002131E+001, 2.2000089E+001, 2.2000021E+001, 2.1999993E+001, 2.1993028E+001
 2.4018484E+000, 2.1999543E+001, 2.1999746E+001, 2.1999857E+001, 2.1996081E+001, 2.1998457E+001, 2.2007652E+001, 2.1999763E+001, 2.1999879E+001, 2.1999960E+001, 2.1999701E+001, 2.1999856E+001, 2.1994304E+001, 2.1999851E+001, 2.1987272E+001, 2.1999814E+001, 2.1999786E+001, 2.1993429E+001, 2.1999980E+001, 2.2409779E+001, 2.2014372E+001, 2.2003995E+001, 2.2615763E+001, 2.2362491E+001, 2.2002387E+001, 2.5719010E+001, 1.9560374E+001, 4.3031712E+002, 9.8472663E+001, 2.5596638E+001, 2.2168243E+001, 2.1999823E+001, 2.2029242E+001, 2.1999761E+001, 2.1999779E+001, 2.2607548E+001, 2.2011809E+001, 2.1990582E+001, 2.2000443E+001, 2.1999719E+001, 2.1999827E+001, 2.1999913E+001, 2.1999857E+001, 2.1999928E+001, 2.1999658E+001, 2.1999938E+001, 2.1999876E+001, 2.1999596E+001, 2.1999936E+001, 2.1999372E+001, 2.2061013E+001, 2.1999699E+001, 2.2002534E+001, 2.2000107E+001, 2.2000003E+001, 2.1999983E+001, 2.1983193E+001
